Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration <= -0.17783533781766891 AND Bwd_PSH_Flags > 2.5738614946603775 AND Flow_IAT_Min > -0.24257809668779373,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port > -0.46147421002388 AND Dst_Port > -0.44411948323249817 AND Init_Bwd_Win_Byts > 0.20473046600818634 AND Dst_Port <= 1.6293988227844238 AND Dst_Port > 1.0671215653419495 AND Src_Port <= -0.9884708225727081 AND Dst_Port <= 1.5981921553611755 AND Dst_Port <= 1.4937453866004944 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= 4.219791650772095 AND Dst_Port <= 1.3260095119476318 AND Dst_Port > 1.1176466345787048 AND Dst_Port <= 1.2365822792053223,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port > 0.8123571872711182 AND Init_Bwd_Win_Byts > -0.4380248039960861 AND Dst_Port > -0.7527363896369934 AND Src_Port <= 0.8512109816074371 AND Dst_Port <= -0.5339182317256927 AND Flow_Duration <= -0.17810705304145813 AND Init_Bwd_Win_Byts > -0.28076885640621185 AND Init_Bwd_Win_Byts <= 2.102826714515686 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > 1.88845556974411 AND Flow_Duration > -0.17837876826524734 AND Src_Port > 0.8466314077377319,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts > -0.593529462814331 AND Src_Port <= 1.1851466298103333 AND Src_Port <= 0.8817967176437378 AND Src_Port > 0.3803855627775192 AND Src_Port > 0.8198792338371277 AND Flow_Duration <= -0.17674847692251205,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port <= -1.2714509963989258 AND Flow_IAT_Min <= -0.20617125928401947 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration > -0.1759333312511444 AND Flow_Duration > -0.17538990080356598 AND Flow_IAT_Min <= -0.21003258973360062 AND Flow_IAT_Min > -0.2177552580833435 AND Flow_Duration <= -0.16560815274715424,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts <= -0.5838576853275299 AND Flow_Duration <= -0.14468608796596527 AND Flow_Duration <= -0.14604466408491135 AND Flow_Duration <= -0.1471315249800682 AND Flow_IAT_Min <= -0.1807967945933342 AND Src_Port <= 0.8482270240783691 AND Flow_IAT_Min <= -0.1819000318646431 AND Flow_IAT_Min <= -0.18245165050029755 AND Init_Bwd_Win_Byts <= -0.5902657508850098 AND Init_Bwd_Win_Byts > -0.5915791988372803 AND Flow_Duration > -0.14767495542764664,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port > 0.8123571872711182 AND Init_Bwd_Win_Byts > -0.4380248039960861 AND Dst_Port <= -0.7527363896369934 AND Src_Port <= 0.8133932650089264 AND Init_Bwd_Win_Byts <= 0.04687751084566116 AND Flow_IAT_Min <= -0.22823601216077805 AND Flow_Duration <= -0.15908699482679367 AND Init_Bwd_Win_Byts > -0.18432971090078354 AND Flow_IAT_Min <= -0.23982000350952148 AND Flow_Duration > -0.17702019214630127 AND Init_Bwd_Win_Byts > -0.039929673075675964,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port <= 0.449431374669075 AND Init_Bwd_Win_Byts <= -0.6018081605434418 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.15215826034545898 AND Flow_Duration > -0.1558264121413231 AND Flow_Duration <= -0.15473955124616623,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration <= -0.17810705304145813 AND Src_Port <= 0.9361713528633118 AND Init_Bwd_Win_Byts > -0.5979872345924377 AND Init_Bwd_Win_Byts > -0.5123740881681442 AND Flow_IAT_Min > -0.24368134140968323,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts > 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9987854361534119 AND Flow_Duration > -0.1597662791609764 AND Flow_Duration > -0.15473955124616623,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts <= -0.5838576853275299 AND Flow_Duration <= -0.14468608796596527 AND Flow_Duration <= -0.14604466408491135 AND Flow_Duration > -0.1471315249800682 AND Src_Port <= 0.7086019217967987 AND Init_Bwd_Win_Byts > -0.5877582430839539 AND Flow_IAT_Min > -0.210860013961792 AND Flow_Duration > -0.146859809756279,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port <= 2.06101131439209 AND Dst_Port <= 2.045832633972168 AND Dst_Port <= 2.0234625339508057 AND Dst_Port <= 1.996607780456543 AND Dst_Port > 1.9867363572120667 AND Dst_Port <= 1.9924150705337524,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts > -0.5838576853275299 AND Flow_IAT_Min > -0.20699868351221085 AND Flow_Duration > -0.14468608796596527 AND Bwd_PSH_Flags > 2.5738614946603775,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port > 0.449431374669075 AND Dst_Port <= -0.791267067193985 AND Src_Port > 0.8443934321403503 AND Src_Port > 0.8849879205226898 AND Flow_IAT_Min <= -0.23982000350952148 AND Flow_Duration > -0.1775636225938797 AND Src_Port <= 1.1725061535835266 AND Src_Port <= 1.0886855125427246 AND Src_Port > 0.9755846560001373,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts <= -0.6002161204814911 AND Src_Port > 0.36366286873817444 AND Src_Port <= 0.449431374669075 AND Init_Bwd_Win_Byts <= -0.6018081605434418 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.15215826034545898 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.1580001339316368 AND Flow_Duration > -0.17837876826524734 AND Flow_IAT_Min <= -0.24368134140968323,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port > 0.8103471398353577 AND Src_Port <= 0.8426113426685333 AND Flow_Duration <= -0.17729190737009048 AND Init_Bwd_Win_Byts > -0.5909423828125 AND Flow_Duration <= -0.17797119170427322 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= -0.5902657508850098,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port <= 0.8103471398353577 AND Src_Port > 0.6069810390472412 AND Dst_Port <= -0.9260448515415192,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port > -0.5052325129508972 AND Src_Port > 0.514664351940155,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port <= -1.1619142889976501 AND Flow_Duration <= -0.16587986797094345 AND Flow_IAT_Min <= -0.22078915685415268 AND Flow_Duration <= -0.17810705304145813 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_IAT_Min > -0.24423296004533768 AND Flow_IAT_Min > -0.24312972277402878,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port > 2.06101131439209 AND Dst_Port > 2.415482997894287 AND Flow_Duration <= -0.1469956710934639 AND Src_Port > -1.2999852895736694,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts <= -0.593529462814331 AND Src_Port > 0.32153497636318207 AND Src_Port <= 1.0439881086349487 AND Src_Port > 1.0236183404922485 AND Src_Port <= 1.0261671543121338 AND Flow_IAT_Min <= -0.24202647805213928 AND Bwd_PSH_Flags > 2.5738614946603775,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration <= -0.12648117542266846 AND Flow_Duration <= -0.14414266496896744 AND Flow_IAT_Min <= -0.20920515805482864 AND Flow_IAT_Min > -0.23871676623821259 AND Flow_IAT_Min > -0.23706191033124924 AND Flow_IAT_Min > -0.23568286001682281,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port > 0.909543514251709 AND Dst_Port <= -0.4858875721693039 AND Flow_Duration <= -0.14916939288377762 AND Init_Bwd_Win_Byts > -0.27583347260951996 AND Src_Port > 1.0165314078330994 AND Src_Port > 1.020406424999237 AND Dst_Port <= -0.7132238745689392 AND Init_Bwd_Win_Byts <= 0.15812285244464874 AND Src_Port <= 1.1031081080436707 AND Src_Port > 1.0448169708251953 AND Src_Port > 1.080272376537323 AND Init_Bwd_Win_Byts <= -0.19033973664045334 AND Init_Bwd_Win_Byts <= -0.19392187893390656,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts > -0.593529462814331 AND Src_Port <= 1.1851466298103333 AND Src_Port > 0.8817967176437378 AND Src_Port <= 1.116349458694458 AND Src_Port <= 1.0578097105026245 AND Src_Port > 0.9519200921058655 AND Src_Port > 1.001880943775177 AND Src_Port <= 1.0369840860366821,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts <= -0.5827034413814545 AND Src_Port <= 1.0507227778434753 AND Init_Bwd_Win_Byts > -0.5934100449085236 AND Init_Bwd_Win_Byts <= -0.5838576853275299 AND Flow_Duration > -0.14468608796596527 AND Flow_IAT_Min <= -0.14935452491044998 AND Flow_IAT_Min <= -0.15156099945306778 AND Flow_Duration <= -0.11697114631533623 AND Flow_IAT_Min > -0.15321585536003113 AND Src_Port > 0.8482270240783691 AND Flow_Duration > -0.13368163257837296,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port > 0.8929451704025269 AND Src_Port > 1.0025440454483032 AND Src_Port <= 1.0396986603736877 AND Init_Bwd_Win_Byts <= -0.5914995968341827 AND Src_Port > 1.0266852378845215 AND Flow_IAT_Min <= -0.24175066500902176 AND Flow_Duration <= -0.16805359721183777,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Flow_Duration <= -0.15338097512722015 AND Init_Bwd_Win_Byts <= 1.9918997883796692 AND Flow_IAT_Min > -0.24257809668779373 AND Flow_IAT_Min <= -0.2287876307964325 AND Flow_Duration <= -0.17511818557977676 AND Init_Bwd_Win_Byts <= 1.985650897026062 AND Flow_IAT_Min > -0.24147485941648483 AND Flow_Duration > -0.17729190737009048,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min > -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.9917007684707642 AND Init_Bwd_Win_Byts > 1.9950839281082153 AND Flow_Duration <= -0.15120725333690643 AND Flow_Duration <= -0.15147896856069565 AND Flow_IAT_Min <= -0.23485543578863144 AND Flow_IAT_Min <= -0.2354070544242859 AND Flow_IAT_Min > -0.23595867305994034,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_IAT_Min <= -0.24368134140968323 AND Flow_Duration > -0.16941216588020325 AND Init_Bwd_Win_Byts <= 1.9778896570205688,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port > 0.8123571872711182 AND Init_Bwd_Win_Byts > -0.4380248039960861 AND Dst_Port <= -0.7527363896369934 AND Src_Port <= 0.8133932650089264 AND Init_Bwd_Win_Byts <= 0.04687751084566116 AND Flow_IAT_Min <= -0.22823601216077805 AND Flow_Duration <= -0.15908699482679367 AND Init_Bwd_Win_Byts <= -0.18432971090078354 AND Init_Bwd_Win_Byts <= -0.24339520931243896 AND Flow_Duration > -0.17905805259943008 AND Flow_Duration <= -0.17797119170427322 AND Flow_Duration > -0.17851462215185165,Mirai-HTTP Flooding
